member_name,profile_url,activity_tags,directory_page,source_file,extraction_status
Finnlines Belgium NV,https://www.apzi.be/en/leden/finnlines-belgium-nv-2359,Ship Agencies,5,APZI_members_page_5.json,firecrawl_directory_card
Flanders Cold Center,https://www.apzi.be/en/leden/flanders-cold-center-2360,,5,APZI_members_page_5.json,firecrawl_directory_card
Flanders Road Services,https://www.apzi.be/en/leden/flanders-road-services-776,"Warehousing; Transport (Road, Rail, Inland Shipping)",5,APZI_members_page_5.json,firecrawl_directory_card
Flanders Ship Repair Group,https://www.apzi.be/en/leden/flanders-ship-repair-group-646,Ship Suppliers,5,APZI_members_page_5.json,firecrawl_directory_card
Fluxys LNG,https://www.apzi.be/en/leden/fluxys-lng-647,Terminal Operator,5,APZI_members_page_5.json,firecrawl_directory_card
G4S Secure Solutions,https://www.apzi.be/en/leden/g4s-secure-solutions-2657,General Support,6,APZI_members_page_6.json,firecrawl_directory_card
Galloo Brugge,https://www.apzi.be/en/leden/galloo-brugge-2772,General Support; Ship Suppliers,6,APZI_members_page_6.json,firecrawl_directory_card
Gardec SDS,https://www.apzi.be/en/leden/gardec-sds-2773,Ship Suppliers,6,APZI_members_page_6.json,firecrawl_directory_card
Gassco As,https://www.apzi.be/en/leden/gassco-as-2774,Terminal Operator,6,APZI_members_page_6.json,firecrawl_directory_card
Gerlach Co,https://www.apzi.be/en/leden/gerlach-co-2775,Customs agencies; Freight Forwarding,6,APZI_members_page_6.json,firecrawl_directory_card
Gheeraert Transport,https://www.apzi.be/en/leden/gheeraert-transport-2776,"Warehousing; Transport (Road, Rail, Inland Shipping)",6,APZI_members_page_6.json,firecrawl_directory_card
Group Caus,https://www.apzi.be/en/leden/group-caus-2777,"General Support; Transport (Road, Rail, Inland Shipping)",6,APZI_members_page_6.json,firecrawl_directory_card
Group Depre,https://www.apzi.be/en/leden/group-depre-2778,Shipper/Manufacturer,6,APZI_members_page_6.json,firecrawl_directory_card
H Essers Internationaal Transport,https://www.apzi.be/en/leden/h-essers-internationaal-transport-2779,"Chartering; Freight Forwarding; Terminal Operators; Logistics; Warehousing; Transport (Road, Rail, Inland Shipping)",6,APZI_members_page_6.json,firecrawl_directory_card
Haven Oostende NV,https://www.apzi.be/en/leden/haven-oostende-nv-2781,Logistics; Warehousing; Offshore,6,APZI_members_page_6.json,firecrawl_directory_card
Heidelberg Materials Sagrex,https://www.apzi.be/en/leden/heidelberg-materials-sagrex-2782,Dredging & Port Works; Ship Agencies; Shipper/Manufacturer,6,APZI_members_page_6.json,firecrawl_directory_card
Herfurth Logistics NV,https://www.apzi.be/en/leden/herfurth-logistics-nv-2783,Customs agencies; Freight Forwarding; Terminal Operators; Import/Export; Logistics; Warehousing; Ship Agencies,6,APZI_members_page_6.json,firecrawl_directory_card
Het Denkhuis,https://www.apzi.be/en/leden/het-denkhuis-662,General Support,7,APZI_members_page_7.json,firecrawl_directory_card
Hoppe Maritime Group,https://www.apzi.be/en/leden/hoppe-maritime-group-2784,Ship Agencies,7,APZI_members_page_7.json,firecrawl_directory_card
HR Consul,https://www.apzi.be/en/leden/hr-consul-2785,,7,APZI_members_page_7.json,firecrawl_directory_card
Hydropure,https://www.apzi.be/en/leden/hydropure-2786,General Support,7,APZI_members_page_7.json,firecrawl_directory_card
ICO Terminals,https://www.apzi.be/en/leden/ico-terminals-2789,Customs agencies; Freight Forwarding; Terminal Operators; PDI (Pre-Delivery Inspection); Ship Agencies,7,APZI_members_page_7.json,firecrawl_directory_card
Icts Services,https://www.apzi.be/en/leden/icts-services-2787,Commercial Vehicles – Suppliers,7,APZI_members_page_7.json,firecrawl_directory_card
Ing Belgie Business Centre Brugge,https://www.apzi.be/en/leden/ing-belgie-business-centre-brugge-2788,General Support; Bank,7,APZI_members_page_7.json,firecrawl_directory_card
Intertrans,https://www.apzi.be/en/leden/intertrans-2790,"Customs agencies; Freight Forwarding; Terminal Operators; Logistics; Warehousing; Terminal Operator; Transport (Road, Rail, Inland Shipping)",7,APZI_members_page_7.json,firecrawl_directory_card
Intris,https://www.apzi.be/en/leden/intris-2791,General Support,7,APZI_members_page_7.json,firecrawl_directory_card
Janson Bridging Belgium,https://www.apzi.be/en/leden/janson-bridging-belgium-2792,General Support,7,APZI_members_page_7.json,firecrawl_directory_card
K Line Belgium,https://www.apzi.be/en/leden/k-line-belgium-680,Shipping Companies; Ship Agencies,8,APZI_members_page_8.json,firecrawl_directory_card
